Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Calculated Eta","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude,"Current Port Unlocode"
Indonesia,"KM SENTOSA 209",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2020-03-15 02:12:59",-6.120093,106.8102,IDJKT
Indonesia,"KELINCI MAS TIGA",,,,,JAKARTA,9696034,Tug,"2020-09-27 21:38:59",-6.078118,106.9712,IDJKT
Indonesia,"KLM HATI NOERANI",,"1900-01-01 00:00:00","No data (CLASS B transponder)",,JAKARTA,0,Other,"2020-04-28 05:31:39",-6.117155,106.8081,IDJKT
Indonesia,"TBKIMI MAJU",,"1900-01-01 00:00:00","No data (CLASS B transponder)",,"JAKARTA ANCH",0,Tug,"2020-04-13 18:51:32",-6.07316,106.8617,
Indonesia,ABCD,SURALAYA,"1900-01-01 00:00:00",,,"JAKARTA ANCH",0,Unspecified,"2020-04-30 15:15:33",-6.0492,106.8645,
Indonesia,"CB. GREAT BRYAN",ANGGREK,"1900-01-01 00:00:00","ANGGREK MAS",,"JAKARTA ANCH",0,"Special Craft","2021-01-01 08:26:00",-6.050277,106.9444,
Indonesia,"KP NAKULA",,"1900-01-01 00:00:00",,,JAKARTA,0,Unspecified,"2020-11-26 01:52:49",-6.113105,106.8715,IDJKT
Indonesia,"BARUNA INDAH",,,"No data (CLASS B transponder)",,JAKARTA,0,Fishing,"2020-03-16 10:16:41",-6.105857,106.7773,IDJKT
Indonesia,"KM CITRA MAJU 12",,,"No data (CLASS B transponder)",,JAKARTA,0,Fishing,"2020-07-02 08:26:08",-5.898763,106.8102,IDJKT
Indonesia,"LAUT BARAT 8",,"2020-01-13 10:00:00","PHE FIELD MM > EJ",,JAKARTA,8218110,"Special Craft","2019-12-13 02:40:12",-6.112745,106.8668,IDJKT
Indonesia,"AIS WID P",,,"No data (CLASS B transponder)",,JAKARTA,0,VTS,"2020-11-25 09:57:16",-6.114393,106.8602,IDJKT
Indonesia,"KLM HATI JAYA PERMAI",,"1900-01-01 00:00:00","No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2020-04-01 04:26:14",-6.11834,106.8082,IDJKT
Indonesia,"TB OCEAN LILY 3",,,"No data (CLASS B transponder)",,"JAKARTA ANCH",0,Unspecified,"2020-03-13 20:54:33",-6.05869,106.9536,
Indonesia,"FORTUNA 993",,,"No data (CLASS B transponder)",,JAKARTA,0,Fishing,,-7.207798,134.6551,IDJKT
Indonesia,GATHOTKOCO,,"2020-11-19 02:59:00",2,,JAKARTA,0,,"2020-11-19 03:32:41",-6.09603,106.8783,IDJKT
Indonesia,"BINTANG SAMUDRA PRO",,,"No data (CLASS B transponder)",,JAKARTA,0,Fishing,"2020-03-01 04:02:54",-6.098653,106.8007,IDJKT
Indonesia,"TB KSD 15",,"1900-01-01 00:00:00","No data (CLASS B transponder)",,"JAKARTA ANCH",0,Tug,"2020-10-09 14:03:01",-6.080647,106.8808,
Indonesia,"KM SWEET MEMORY",,,"No data (CLASS B transponder)",,JAKARTA,0,Fishing,"2021-06-22 08:11:04",-6.119687,106.8632,IDJKT
Indonesia,"KLM ANUGERAH JAYA",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2020-01-25 02:45:17",-6.111557,106.809,IDJKT
Indonesia,YV,,,"No data (CLASS B transponder)",,JAKARTA,0,"Pleasure Craft","2020-01-20 07:31:29",-6.129539,106.8053,IDJKT
Indonesia,"ARTA MINA",,,"No data (CLASS B transponder)",,JAKARTA,0,Fishing,"2020-09-14 01:46:47",-6.099205,106.8009,IDJKT
Indonesia,"KLM SUMBER HIDAYAH",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2019-12-06 12:51:04",-5.977907,106.8084,IDJKT
Indonesia,"GARUDA MAKMUR 1",,"1900-01-01 00:00:00",,,JAKARTA,0,Fishing,,-5.995918,106.8055,IDJKT
Indonesia,"SAFIR ALAM IV",,"1900-01-01 00:00:00",,,JAKARTA,0,Fishing,"2020-08-21 21:40:30",-6.103555,106.7783,IDJKT
Indonesia,BINTANGMAPPARENNU,,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2019-12-09 11:32:37",-6.116678,106.8078,IDJKT
Indonesia,"SAMUDRA BIRU BPPT",,,"No data (CLASS B transponder)",,JAKARTA,0,Passenger,"2019-12-04 01:23:28",-6.10444,106.7721,IDJKT
Indonesia,BROMO,,"1900-01-01 00:00:00",,,JAKARTA,9073127,Tug,"2019-08-17 09:46:04",-6.122382,106.8124,IDJKT
Indonesia,"RT.E ANG",JAKARTA,"1900-01-01 00:00:00",,,JAKARTA,0,Other,"2019-11-28 11:49:17",-6.106205,106.906,IDJKT
Indonesia,"KLM BINTANGPRATAMA",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2019-11-30 06:01:44",-6.124627,106.8093,IDJKT
Indonesia,"BERKAT SAUDARAKU",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2020-06-20 05:30:11",-6.103998,106.7769,IDJKT
Indonesia,"TES AIS",,"2019-02-27 12:30:00","KUALA TG",,"JAKARTA ANCH",0,Tanker,"2020-05-22 14:59:36",-6.088155,106.8675,
Indonesia,BENNY,JAKARTA,"2020-05-20 10:59:00",BLTNG,,JAKARTA,0,Tanker,"2020-05-21 09:35:05",-6.0827,106.8816,IDJKT
